ActivityType	DateTime	TransDateTime	Symbol	OrderActionSource	InternalOrderID	ServiceOrderID	OrderType	Quantity	BuySell	Price	Price2	OrderStatus	FillPrice	FilledQuantity	TradeAccount	OpenClose	ParentInternalOrderID	PositionQuantity	FillExecutionServiceID	HighDuringPosition	LowDuringPosition	Note	AccountBalance	ExchangeOrderID	ClientOrderID	TimeInForce	Username	IsAutomated
Orders	2026-07-22  13:52:10.619530	2026-07-22  13:52:10.619514	[Sim]NQU26_FUT_CME	#1 NQU26_FUT_CME[M]  60 Min  | User order entry | Last: 29202 | AOE=true | AOU=true. Attached Order | Client side OCO order	3488		Limit		Sell	2925300.0000000		Pending Child-Client			Sim1 [EVAL]	Close	3487					SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-22  13:52:10.619570	2026-07-22  13:52:10.619567	[Sim]NQU26_FUT_CME	#1 NQU26_FUT_CME[M]  60 Min  | User order entry | Last: 29202 | AOE=true | AOU=true. Attached Order | Client side OCO order	3489		Stop		Sell	2917800.0000000		Pending Child-Client			Sim1 [EVAL]	Close	3487					SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-22  13:52:10.619579	2026-07-22  13:52:10.619576	[Sim]NQU26_FUT_CME	#1 NQU26_FUT_CME[M]  60 Min  | User order entry | Last: 29202 | AOE=true | AOU=true	3487		Market	6	Buy			Order Sent			Sim1 [EVAL]	Open						SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-22  13:52:10.619596	2026-07-22  13:52:10.619594	[Sim]NQU26_FUT_CME	Simulated order accepted	3487	3487	Market	6	Buy			Open			Sim1 [EVAL]	Open						SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-22  13:52:10.619625	2026-07-22  13:52:10.619623	[Sim]NQU26_FUT_CME	Trade simulation fill. Bid: 29202.00 Ask: 29203.00 Last: 29202.00	3487	3487	Market	6	Buy			Filled	2920300.0000000	6	Sim1 [EVAL]	Open						SwissPropFirm.twconfig	0.00			Day		N
Fills	2026-07-22  13:52:10.619629	2026-07-22  13:52:10.619620	[Sim]NQU26_FUT_CME	Trade simulation fill. Bid: 29202.00 Ask: 29203.00 Last: 29202.00	3487	3487	Market	6	Buy			Filled	2920300.0000000	6	Sim1 [EVAL]	Open		6	3487.1			SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-22  13:52:10.619682	2026-07-22  13:52:10.619681	[Sim]NQU26_FUT_CME	Updating move to breakeven stop reference price on parent modification/fill to 2920300	3489		Stop		Sell	2917800.0000000		Pending Child-Client			Sim1 [EVAL]	Close	3487					SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-22  13:52:10.619685	2026-07-22  13:52:10.619684	[Sim]NQU26_FUT_CME	Updating move to breakeven stop trigger price on parent modification/fill to 2925300	3489		Stop		Sell	2917800.0000000		Pending Child-Client			Sim1 [EVAL]	Close	3487					SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-22  13:52:10.619695	2026-07-22  13:52:10.619693	[Sim]NQU26_FUT_CME	Auto-sent child from parent fill	3488		Limit	6	Sell	2925300.0000000		Order Sent			Sim1 [EVAL]	Close	3487	6				SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-22  13:52:10.619703	2026-07-22  13:52:10.619702	[Sim]NQU26_FUT_CME	Auto-sent child from parent fill	3489		Stop	6	Sell	2917800.0000000		Order Sent			Sim1 [EVAL]	Close	3487	6				SwissPropFirm.twconfig	0.00			Day		N
