ActivityType	DateTime	TransDateTime	Symbol	OrderActionSource	InternalOrderID	ServiceOrderID	OrderType	Quantity	BuySell	Price	Price2	OrderStatus	FillPrice	FilledQuantity	TradeAccount	OpenClose	ParentInternalOrderID	PositionQuantity	FillExecutionServiceID	HighDuringPosition	LowDuringPosition	Note	AccountBalance	ExchangeOrderID	ClientOrderID	TimeInForce	Username	IsAutomated
Orders	2026-07-30  06:10:12.228537	2026-07-30  06:10:12.228501	[Sim]NQU26_FUT_CME	#1 NQU26_FUT_CME[M]  1 Min  | User order entry | Last: 27461 | AOE=true | AOU=true. Attached Order | Client side OCO order	3630		Limit		Sell	2751125.0000000		Pending Child-Client			Sim1 [EVAL]	Close	3629					SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-30  06:10:12.228626	2026-07-30  06:10:12.228622	[Sim]NQU26_FUT_CME	#1 NQU26_FUT_CME[M]  1 Min  | User order entry | Last: 27461 | AOE=true | AOU=true. Attached Order | Client side OCO order	3631		Stop		Sell	2743625.0000000		Pending Child-Client			Sim1 [EVAL]	Close	3629					SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-30  06:10:12.228638	2026-07-30  06:10:12.228634	[Sim]NQU26_FUT_CME	#1 NQU26_FUT_CME[M]  1 Min  | User order entry | Last: 27461 | AOE=true | AOU=true	3629		Market	6	Buy			Order Sent			Sim1 [EVAL]	Open						SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-30  06:10:12.228665	2026-07-30  06:10:12.228662	[Sim]NQU26_FUT_CME	Simulated order accepted	3629	3629	Market	6	Buy			Open			Sim1 [EVAL]	Open						SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-30  06:10:12.228717	2026-07-30  06:10:12.228714	[Sim]NQU26_FUT_CME	Trade simulation fill. Bid: 27459.75 Ask: 27461.25 Last: 27461.00	3629	3629	Market	6	Buy			Filled	2746125.0000000	6	Sim1 [EVAL]	Open						SwissPropFirm.twconfig	0.00			Day		N
Fills	2026-07-30  06:10:12.228723	2026-07-30  06:10:12.228710	[Sim]NQU26_FUT_CME	Trade simulation fill. Bid: 27459.75 Ask: 27461.25 Last: 27461.00	3629	3629	Market	6	Buy			Filled	2746125.0000000	6	Sim1 [EVAL]	Open		6	3629.1			SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-30  06:10:12.228816	2026-07-30  06:10:12.228815	[Sim]NQU26_FUT_CME	Updating move to breakeven stop reference price on parent modification/fill to 2746125	3631		Stop		Sell	2743625.0000000		Pending Child-Client			Sim1 [EVAL]	Close	3629					SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-30  06:10:12.228822	2026-07-30  06:10:12.228821	[Sim]NQU26_FUT_CME	Updating move to breakeven stop trigger price on parent modification/fill to 2751125	3631		Stop		Sell	2743625.0000000		Pending Child-Client			Sim1 [EVAL]	Close	3629					SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-30  06:10:12.228857	2026-07-30  06:10:12.228855	[Sim]NQU26_FUT_CME	Auto-sent child from parent fill	3630		Limit	6	Sell	2751125.0000000		Order Sent			Sim1 [EVAL]	Close	3629	6				SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-30  06:10:12.228882	2026-07-30  06:10:12.228880	[Sim]NQU26_FUT_CME	Auto-sent child from parent fill	3631		Stop	6	Sell	2743625.0000000		Order Sent			Sim1 [EVAL]	Close	3629	6				SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-30  06:10:12.228893	2026-07-30  06:10:12.228891	[Sim]NQU26_FUT_CME	Simulated order accepted	3630	3630	Limit	6	Sell	2751125.0000000		Open			Sim1 [EVAL]	Close	3629	6				SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-30  06:10:12.228898	2026-07-30  06:10:12.228897	[Sim]NQU26_FUT_CME	Simulated order accepted	3631	3631	Stop	6	Sell	2743625.0000000		Open			Sim1 [EVAL]	Close	3629	6				SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-30  06:10:12.228965	2026-07-30  06:10:12.228961	[Sim]NQU26_FUT_CME	#1 NQU26_FUT_CME[M]  1 Min  | User order entry | Last: 27461 | AOE=true | AOU=true. Attached Order | Client side OCO order	3633		Limit		Sell	2753625.0000000		Pending Child-Client			Sim1 [EVAL]	Close	3632	6				SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-30  06:10:12.228971	2026-07-30  06:10:12.228968	[Sim]NQU26_FUT_CME	#1 NQU26_FUT_CME[M]  1 Min  | User order entry | Last: 27461 | AOE=true | AOU=true. Attached Order | Client side OCO order	3634		Stop		Sell	2743625.0000000		Pending Child-Client			Sim1 [EVAL]	Close	3632	6				SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-30  06:10:12.228979	2026-07-30  06:10:12.228975	[Sim]NQU26_FUT_CME	#1 NQU26_FUT_CME[M]  1 Min  | User order entry | Last: 27461 | AOE=true | AOU=true	3632		Market	1	Buy			Order Sent			Sim1 [EVAL]	Open		6				SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-30  06:10:12.228983	2026-07-30  06:10:12.228982	[Sim]NQU26_FUT_CME	Simulated order accepted	3632	3632	Market	1	Buy			Open			Sim1 [EVAL]	Open		6				SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-30  06:10:12.229003	2026-07-30  06:10:12.229001	[Sim]NQU26_FUT_CME	Trade simulation fill. Bid: 27459.75 Ask: 27461.25 Last: 27461.00	3632	3632	Market	1	Buy			Filled	2746125.0000000	1	Sim1 [EVAL]	Open		6				SwissPropFirm.twconfig	0.00			Day		N
Fills	2026-07-30  06:10:12.229007	2026-07-30  06:10:12.228993	[Sim]NQU26_FUT_CME	Trade simulation fill. Bid: 27459.75 Ask: 27461.25 Last: 27461.00	3632	3632	Market	1	Buy			Filled	2746125.0000000	1	Sim1 [EVAL]	Open		7	3632.1			SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-30  06:10:12.229023	2026-07-30  06:10:12.229022	[Sim]NQU26_FUT_CME	Updating move to breakeven stop reference price on parent modification/fill to 2746125	3634		Stop		Sell	2743625.0000000		Pending Child-Client			Sim1 [EVAL]	Close	3632					SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-30  06:10:12.229027	2026-07-30  06:10:12.229026	[Sim]NQU26_FUT_CME	Updating move to breakeven stop trigger price on parent modification/fill to 2751125	3634		Stop		Sell	2743625.0000000		Pending Child-Client			Sim1 [EVAL]	Close	3632					SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-30  06:10:12.229032	2026-07-30  06:10:12.229031	[Sim]NQU26_FUT_CME	Auto-sent child from parent fill	3633		Limit	1	Sell	2753625.0000000		Order Sent			Sim1 [EVAL]	Close	3632	7				SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-30  06:10:12.229039	2026-07-30  06:10:12.229037	[Sim]NQU26_FUT_CME	Auto-sent child from parent fill	3634		Stop	1	Sell	2743625.0000000		Order Sent			Sim1 [EVAL]	Close	3632	7				SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-30  06:10:12.229046	2026-07-30  06:10:12.229045	[Sim]NQU26_FUT_CME	Simulated order accepted	3633	3633	Limit	1	Sell	2753625.0000000		Open			Sim1 [EVAL]	Close	3632	7				SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-30  06:10:12.229051	2026-07-30  06:10:12.229050	[Sim]NQU26_FUT_CME	Simulated order accepted	3634	3634	Stop	1	Sell	2743625.0000000		Open			Sim1 [EVAL]	Close	3632	7				SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-30  06:44:54.156627	2026-07-30  06:44:54.156615	[Sim]NQU26_FUT_CME	Trade simulation fill. Bid: 27436.25 Ask: 27437.00 Last: 27436.25	3631	3631	Stop	6	Sell	2743625.0000000		Filled	2743625.0000000	6	Sim1 [EVAL]	Close	3629	7				SwissPropFirm.twconfig	0.00			Day		N
Fills	2026-07-30  06:44:54.156662	2026-07-30  06:44:54.156606	[Sim]NQU26_FUT_CME	Trade simulation fill. Bid: 27436.25 Ask: 27437.00 Last: 27436.25	3631	3631	Stop	6	Sell	2743625.0000000		Filled	2743625.0000000	6	Sim1 [EVAL]	Close	3629	1	3631.1	2749800.0000000	2743575.0000000	SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-30  06:44:54.159455	2026-07-30  06:44:54.159451	[Sim]NQU26_FUT_CME	Canceling order due to sibling fill	3630	3630	Limit	6	Sell	2751125.0000000		Pending Cancel			Sim1 [EVAL]	Close	3629	1				SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-30  06:44:54.159478	2026-07-30  06:44:54.159476	[Sim]NQU26_FUT_CME	Simulated order canceled	3630	3630	Limit	6	Sell	2751125.0000000		Canceled			Sim1 [EVAL]	Close	3629	1				SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-30  06:44:54.159683	2026-07-30  06:44:54.159682	[Sim]NQU26_FUT_CME	Trade simulation fill. Bid: 27436.25 Ask: 27437.00 Last: 27436.25	3634	3634	Stop	1	Sell	2743625.0000000		Filled	2743625.0000000	1	Sim1 [EVAL]	Close	3632	1				SwissPropFirm.twconfig	0.00			Day		N
Fills	2026-07-30  06:44:54.159694	2026-07-30  06:44:54.159679	[Sim]NQU26_FUT_CME	Trade simulation fill. Bid: 27436.25 Ask: 27437.00 Last: 27436.25	3634	3634	Stop	1	Sell	2743625.0000000		Filled	2743625.0000000	1	Sim1 [EVAL]	Close	3632		3634.1			SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-30  06:44:54.159724	2026-07-30  06:44:54.159722	[Sim]NQU26_FUT_CME	Canceling order due to sibling fill	3633	3633	Limit	1	Sell	2753625.0000000		Pending Cancel			Sim1 [EVAL]	Close	3632					SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-30  06:44:54.159734	2026-07-30  06:44:54.159731	[Sim]NQU26_FUT_CME	Simulated order canceled	3633	3633	Limit	1	Sell	2753625.0000000		Canceled			Sim1 [EVAL]	Close	3632					SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-30  06:45:58.375220	2026-07-30  06:45:58.375214	[Sim]NQU26_FUT_CME	#1 NQU26_FUT_CME[M]  1 Min  | User order entry | Last: 27461 | AOE=true | AOU=true. Attached Order | Client side OCO order	3636		Limit		Sell	2751075.0000000		Pending Child-Client			Sim1 [EVAL]	Close	3635					SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-30  06:45:58.375236	2026-07-30  06:45:58.375233	[Sim]NQU26_FUT_CME	#1 NQU26_FUT_CME[M]  1 Min  | User order entry | Last: 27461 | AOE=true | AOU=true. Attached Order | Client side OCO order	3637		Stop		Sell	2743575.0000000		Pending Child-Client			Sim1 [EVAL]	Close	3635					SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-30  06:45:58.375241	2026-07-30  06:45:58.375239	[Sim]NQU26_FUT_CME	#1 NQU26_FUT_CME[M]  1 Min  | User order entry | Last: 27461 | AOE=true | AOU=true	3635		Market	6	Buy			Order Sent			Sim1 [EVAL]	Open						SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-30  06:45:58.375252	2026-07-30  06:45:58.375251	[Sim]NQU26_FUT_CME	Simulated order accepted	3635	3635	Market	6	Buy			Open			Sim1 [EVAL]	Open						SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-30  06:45:58.375271	2026-07-30  06:45:58.375270	[Sim]NQU26_FUT_CME	Trade simulation fill. Bid: 27459.00 Ask: 27460.75 Last: 27461.00	3635	3635	Market	6	Buy			Filled	2746075.0000000	6	Sim1 [EVAL]	Open						SwissPropFirm.twconfig	0.00			Day		N
Fills	2026-07-30  06:45:58.375273	2026-07-30  06:45:58.375268	[Sim]NQU26_FUT_CME	Trade simulation fill. Bid: 27459.00 Ask: 27460.75 Last: 27461.00	3635	3635	Market	6	Buy			Filled	2746075.0000000	6	Sim1 [EVAL]	Open		6	3635.1			SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-30  06:45:58.375295	2026-07-30  06:45:58.375295	[Sim]NQU26_FUT_CME	Updating move to breakeven stop reference price on parent modification/fill to 2746075	3637		Stop		Sell	2743575.0000000		Pending Child-Client			Sim1 [EVAL]	Close	3635					SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-30  06:45:58.375297	2026-07-30  06:45:58.375297	[Sim]NQU26_FUT_CME	Updating move to breakeven stop trigger price on parent modification/fill to 2751075	3637		Stop		Sell	2743575.0000000		Pending Child-Client			Sim1 [EVAL]	Close	3635					SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-30  06:45:58.375301	2026-07-30  06:45:58.375300	[Sim]NQU26_FUT_CME	Auto-sent child from parent fill	3636		Limit	6	Sell	2751075.0000000		Order Sent			Sim1 [EVAL]	Close	3635	6				SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-30  06:45:58.375305	2026-07-30  06:45:58.375304	[Sim]NQU26_FUT_CME	Auto-sent child from parent fill	3637		Stop	6	Sell	2743575.0000000		Order Sent			Sim1 [EVAL]	Close	3635	6				SwissPropFirm.twconfig	0.00			Day		N
Orders	2026-07-30  06:45:58.375309	2026-07-30  06:45:58.375308	[Sim]NQU26_FUT_CME	Simulated order accepted	3636	3636	Limit	6	Sell	2751075.0000000		Open			Sim1 [EVAL]	Close	3635	6				SwissPropFirm.twconfig	0.00			Day		N
