Symbol,Side,Type,Quantity,Limit price,Stop price,Fill price,Status,Commission,Placing time,Closing time,Order ID,Level ID,Leverage,Margin
CME_MINI:NQU2026,Sell,Market,1,,,29163,Filled,,2026-07-21 10:25:31,2026-07-21 10:25:31,3311627591,,20:1,"29,163.00 USD"
CME_MINI:NQU2026,Sell,Stop Loss,1,,29103.5,,Cancelled,,2026-07-21 09:57:10,2026-07-21 11:19:00,3311553825,,,
CME_MINI:NQU2026,Sell,Take Profit,1,29191.25,,29191.75,Filled,,2026-07-21 09:56:57,2026-07-21 11:19:00,3311553313,,,
CME_MINI:NQU2026,Buy,Market,2,,,29111.5,Filled,,2026-07-21 09:56:45,2026-07-21 09:56:45,3311552843,,20:1,"58,223.00 USD"
CME_MINI:NQU2026,Sell,Take Profit,2,29194,,,Cancelled,,2026-07-21 09:41:32,2026-07-21 09:49:21,3311513131,,,
CME_MINI:NQU2026,Sell,Stop Loss,2,,29101.5,29100.25,Filled,,2026-07-21 09:41:20,2026-07-21 09:49:21,3311512607,,,
CME_MINI:NQU2026,Buy,Market,2,,,29121.75,Filled,,2026-07-21 09:38:25,2026-07-21 09:38:25,3311505011,,20:1,"58,243.50 USD"
CME_MINI:NQU2026,Sell,Market,1,,,28932.5,Filled,,2026-07-20 11:43:12,2026-07-20 11:43:12,3307263987,,20:1,"28,932.50 USD"
CME_MINI:NQU2026,Buy,Limit,1,28886,,28885.75,Filled,,2026-07-20 11:16:33,2026-07-20 11:18:54,3307204407,,20:1,"28,886.00 USD"
CME_MINI:NQU2026,Sell,Limit,1,28963.5,,28964,Filled,,2026-07-20 11:15:53,2026-07-20 11:48:09,3307202487,,,
CME_MINI:NQU2026,Sell,Stop,1,,28893,,Cancelled,,2026-07-20 11:15:45,2026-07-20 11:48:09,3307202117,,,
CME_MINI:NQU2026,Buy,Market,1,,,28893.25,Filled,,2026-07-20 11:15:41,2026-07-20 11:15:41,3307201858,,20:1,"28,893.25 USD"
COMEX:GC1!,Sell,Limit,2,4019.8,,,Cancelled,,2026-07-20 09:08:21,2026-07-20 09:13:24,3306886963,,,
COMEX:GC1!,Sell,Stop,2,,4007.9,4007.8,Filled,,2026-07-20 09:08:15,2026-07-20 09:13:24,3306886717,,,
COMEX:GC1!,Buy,Limit,2,4009.5,,4009.5,Filled,,2026-07-20 09:08:06,2026-07-20 09:10:03,3306886382,,20:1,"40,095.00 USD"
CME_MINI:NQU2026,Sell,Stop,1,,28574.75,,Cancelled,,2026-07-17 15:52:53,2026-07-17 16:00:05,3300980912,,,
CME_MINI:NQU2026,Sell,Limit,1,28696,,28697.25,Filled,,2026-07-17 15:52:27,2026-07-17 16:00:05,3300976238,,,
CME_MINI:NQU2026,Buy,Market,1,,,28527.75,Filled,,2026-07-17 15:51:58,2026-07-17 15:51:58,3300971451,,20:1,"28,527.75 USD"
CME_MINI:NQU2026,Buy,Limit,3,28510.25,,28510,Filled,,2026-07-17 14:51:37,2026-07-17 15:37:19,3300558263,,,
CME_MINI:NQU2026,Buy,Stop,3,,28740.5,,Cancelled,,2026-07-17 14:51:31,2026-07-17 15:37:19,3300557730,,,
CME_MINI:NQU2026,Sell,Market,1,,,,Rejected,,2026-07-17 14:51:22,2026-07-17 14:51:22,3300556925,,20:1,
CME_MINI:NQU2026,Sell,Market,3,,,,Rejected,,2026-07-17 14:51:08,2026-07-17 14:51:08,3300555782,,20:1,
CME_MINI:NQU2026,Sell,Market,3,,,28653.5,Filled,,2026-07-17 14:51:04,2026-07-17 14:51:04,3300555398,,20:1,"85,960.50 USD"
