Symbol,Side,Type,Quantity,Limit price,Stop price,Fill price,Status,Commission,Placing time,Closing time,Order ID,Level ID,Leverage,Margin
CME_MINI:NQU2026,Sell,Stop Loss,3,,29132,29131.25,Filled,,2026-07-21 14:16:24,2026-07-21 14:32:42,3312226101,,,
CME_MINI:NQU2026,Sell,Take Profit,3,29207,,,Cancelled,,2026-07-21 14:16:19,2026-07-21 14:32:42,3312225708,,,
CME_MINI:NQU2026,Buy,Market,1,,,29149.25,Filled,,2026-07-21 14:16:09,2026-07-21 14:16:10,3312224880,,20:1,"29,149.25 USD"
CME_MINI:NQU2026,Buy,Market,1,,,29149.5,Filled,,2026-07-21 14:16:09,2026-07-21 14:16:09,3312224856,,20:1,"29,149.50 USD"
CME_MINI:NQU2026,Buy,Market,1,,,29143,Filled,,2026-07-21 14:16:08,2026-07-21 14:16:08,3312224765,,20:1,"29,143.00 USD"
CME_MINI:NQU2026,Sell,Stop Loss,3,,29147,29145.25,Filled,,2026-07-21 14:15:51,2026-07-21 14:16:00,3312223479,,,
CME_MINI:NQU2026,Sell,Take Profit,3,29208.5,,,Cancelled,,2026-07-21 14:15:38,2026-07-21 14:16:00,3312222656,,,
CME_MINI:NQU2026,Buy,Market,1,,,29170.5,Filled,,2026-07-21 14:15:19,2026-07-21 14:15:19,3312221620,,20:1,"29,170.50 USD"
CME_MINI:NQU2026,Buy,Market,1,,,29169.75,Filled,,2026-07-21 14:15:19,2026-07-21 14:15:19,3312221597,,20:1,"29,169.75 USD"
CME_MINI:NQU2026,Buy,Market,1,,,29169.75,Filled,,2026-07-21 14:15:19,2026-07-21 14:15:19,3312221579,,20:1,"29,169.75 USD"
CME_MINI:NQU2026,Buy,Market,1,,,29164,Filled,,2026-07-21 13:42:21,2026-07-21 13:42:21,3312120893,,20:1,"29,164.00 USD"
CME_MINI:NQU2026,Buy,Market,1,,,29164,Filled,,2026-07-21 13:42:21,2026-07-21 13:42:21,3312120887,,20:1,"29,164.00 USD"
CME_MINI:NQU2026,Sell,Stop Loss,3,,29146.25,29147.25,Filled,,2026-07-21 13:40:30,2026-07-21 13:57:32,3312115351,,,
CME_MINI:NQU2026,Sell,Take Profit,3,29207.75,,,Cancelled,,2026-07-21 13:40:15,2026-07-21 13:57:32,3312114509,,,
CME_MINI:NQU2026,Buy,Market,1,,,29160.75,Filled,,2026-07-21 13:40:11,2026-07-21 13:40:11,3312114274,,20:1,"29,160.75 USD"
CME_MINI:NQU2026,Buy,Market,1,,,29142.25,Filled,,2026-07-21 13:05:22,2026-07-21 13:05:22,3312012363,,20:1,"29,142.25 USD"
CME_MINI:NQU2026,Buy,Take Profit,1,29140,,,Cancelled,,2026-07-21 13:02:18,2026-07-21 13:05:22,3312002695,,,
CME_MINI:NQU2026,Buy,Stop Loss,1,,29170.5,,Cancelled,,2026-07-21 13:02:13,2026-07-21 13:05:22,3312002488,,,
CME_MINI:NQU2026,Sell,Market,1,,,29162,Filled,,2026-07-21 13:02:04,2026-07-21 13:02:04,3312001996,,20:1,"29,162.00 USD"
